"","ScanID","Genotype","Subdirectory","RegType","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t","OrganName","GenotypeRegtype"
"105","Scan_0095","WT/WT","WT","M",8,31194.4013316761,14971.7861328125,41675.42578125,22899733.7881233,385,0.0831599980592728,12009844.5126953,6.01839251907152,-5.36537125126726,-9.36945370146517,NA,"adrenal (right)","WT-M"
"106","Scan_0095","WT/WT","WT","M",9,21831.5132485741,9518.3486328125,33489.48828125,20094643.3711629,526,0.113615997135639,11483375.96875,5.21688928466333,-4.25867064388985,-6.79241148132788,NA,"rectum","WT-M"
"107","Scan_0095","WT/WT","WT","M",10,20264.3611766417,8250.1240234375,29431.455078125,22084955.9072526,1934,0.417744010686874,39191274.515625,5.21025491314072,-5.24403311887226,-6.84679145781425,NA,"bladder","WT-M"
"108","Scan_0095","WT/WT","WT","M",11,22873.5911076276,1895.35229492188,43705.5703125,37419071.4247039,6797,1.46815204620361,155471798.758545,5.00413804851631,-8.48354654250554,-7.77789774763527,NA,"heart","WT-M"
"109","Scan_0095","WT/WT","WT","M",12,26279.0107899913,16251.142578125,31078.072265625,4082314.50120288,429,0.0926640033721924,11273695.6289062,4.77440450708349,-9.61092170081772,-8.40860255261402,NA,"thymus (left)","WT-M"
"110","Scan_0095","WT/WT","WT","M",13,25870.5228928377,17128.578125,30264.80078125,4035925.07894431,459,0.0991439968347549,11874570.0078125,5.30866567075641,-9.72396525856717,-8.32913182726095,NA,"thymus (right)","WT-M"
"111","Scan_0095","WT/WT","WT","M",14,19416.745609339,1542.19299316406,36275.32421875,15130890.6976953,145057,31.332311630249,2816534867.85388,5.25880105995015,-13.1763856643199,-6.16516290740201,NA,"brain","WT-M"
"112","Scan_0095","WT/WT","WT","M",15,19721.2669034073,5661.3642578125,39854.05078125,8287966.88041056,34558,7.46452808380127,681527541.647949,5.19506075459219,-8.22343946258697,-9.62636976427558,NA,"spinal cord","WT-M"
"114","Scan_0113","WT/WT","WT","M",1,25370.0362973795,5499.52587890625,35674.76953125,15165276.38635,5946,1.2843359708786,150850235.824219,4.31805540714208,-7.89940236243665,-9.41205262423779,NA,"lung (left)","WT-M"
"115","Scan_0113","WT/WT","WT","M",2,24016.8315835349,2309.26831054688,42319.2109375,23723455.1495052,12801,2.76501607894897,307439461.10083,6.00982130963884,-7.92243985690586,-9.26949586132076,NA,"lung (right)","WT-M"
"116","Scan_0113","WT/WT","WT","M",3,22130.1850349672,8044.66845703125,32293.27734375,12810362.2869116,1426,0.308016002178192,31557643.8598633,4.52523425237327,-4.90504914420184,-8.62377198346361,NA,"kidney (left)","WT-M"
